Player	Full Name	Date and Place of Birth	Current Age	Major Teams	Playing Role	Batting Style	Bowling Style	Highest ODI Score	ODI Debut	Profile Information	Picture of the Player	Country
Asghar Afghan	Mohammad Asghar Afghan	December 26, 1987, Kabul, Afghanistan 	33 years 64 days	Afghanistan, Amo Region	Middle-order batsman	Right-hand bat	Right-arm medium-fast	101	Afghanistan v Scotland at Benoni, Apr 19, 2009	"A middle-order batsman, Asghar Stanikzai has a somewhat tuk-tuk-boom approach to batting, his determined presence at the crease occasionally punctuated with flashes of aggressive strokeplay. In Afghanistan's early forays into the top level of the international game his approach was at odds with that of many of his team-mates in the top order, who seemed to play a shot a ball, and Stanikzai's ability to occupy the crease was an important asset to the side. 
 He was with Afghanistan at their first major global tournament, the World T20 in 2010, and also played a vital role in their first win over a Test-playing nation, against Bangladesh in March 2014. In typical style, Stanikzai anchored the innings that day and nudged his way to 37 from 73 balls before he hit a boundary. But he then hit six fours and three sixes, one of which went out of the ground, in the last ten overs and shared in a match-winning 164-run partnership with Samiullah Shenwari. If he can replicate that sort of performance more frequently, Stanikzai has a very handy role to play as Afghanistan's middle-order glue.Liam Brickhill"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221774.html"",""Asghar Afghan"")"	Afghanistan
Ben Stokes	Benjamin Andrew Stokes	June 4, 1991, Christchurch, Canterbury, New Zealand 	29 years 269 days	England, Canterbury, Durham, Durham 2nd XI, England Development Programme Under-19s, England Lions, England Performance Programme, England Performance Programme XI, England Under-19s, Melbourne Renegades, Rajasthan Royals, Rising Pune Supergiant	Allrounder	Left-hand bat	Right-arm fast-medium	102*	Ireland v England at Dublin, Aug 25, 2011	"The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins. 
 For Stokes, this was a wonderful moment of redemption because it had been his misfortune until then to be remembered for two episodes he would rather forget. The first came in the 2016 Twenty20 World Cup final in Kolkata. Asked to defend 19 in the last over against West Indies, his attempted yorkers missed the mark by inches resulting in Carlos Brathwaite heaving him for four successive sixes into a sweltering night sky.
 The second, and altogether more serious, incident occurred in September 2017. Celebrating an ODI victory in Bristol, Stokes became embroiled in a fight outside a club in the early hours of the morning that resulted in his arrest. A trial at Bristol Crown Court subsequently saw him cleared of the charge of affray but by then the reputational damage had been done. He had already missed the 2017-18 Ashes tour - a toothless England were beaten 4-0 with Stokes not considered for selection - and been stripped of the team's vice-captaincy. 
 It was testament to his immense character that he ensured he would be remembered for more positive reasons. Within months of his comeback, Stokes had played a key role in England's 3-0 Test win in Sri Lanka, their first whitewash series victory in Asia. Trevor Bayliss praised Stokes' attitude as ""exemplary"", saying he had ""learned his lesson"". The World Cup final underlined his immense character. Capable of turning games with his batting, his bowling and in the field, he had attracted comparisons with Ian Botham. Expectations were huge from the outset. He had satisfied them.
 Stokes, from the moment he made his Durham debut, felt very much a product of the northeast of England. He was actually born in Christchurch, New Zealand and came from a rich sporting pedigree with his father, Ged, playing international Rugby League for that country.
 His prodigious talent was clear from an early age. A true allrounder, Stokes debuted for Durham at 17 and dismissed Mark Ramprakash with his third legal delivery in senior cricket. He enjoyed a productive time at the 2009 Under-19 World Cup, scoring a century against India, before registering a maiden fifty on his first-class debut for Durham. But it was in 2011 that he really began to blossom. In April he took 6 for 68 and scored a brilliant hundred that included five sixes in an over, and a month later registered his maiden limited-overs ton. A broken finger hindered his bowling, but he played for England Lions and made his ODI debut against Ireland in Dublin, going on to play four times against India, albeit with limited impact.
 A first brush with the management was to follow, after being called up to the England Lions squad for the tour of Australia in early 2013. Stokes ended up being sent home with three matches remaining, along with Kent's Matt Coles, after two breaches of discipline. It was a watershed moment, and he was rapidly rehabilitated back at Durham, playing a key role in their Championship-winning season and being recalled to England's limited-overs teams. He took a maiden ODI five-for and won selection for the 2013-14 Ashes tour, a return to Australia that would command attention for the right reasons.
 Stokes' performances were a rare bright spot on a disastrous trip. When the agony was all over, only Stokes returned to England as a star on the rise. Brought into the XI at Adelaide, after Jonathan Trott's untimely departure, his pugnacious nature came to the fore during a maiden Test hundred in Perth, a doughty response out of keeping with England's general demeanour throughout the tour.
 But with fire came combustibility. Stokes missed the 2014 World Twenty20 in Bangladesh after reacting to a dismissal in Barbados by punching a dressing room locker and sustaining a broken wrist. During a difficult year, he was dropped from the Test team after making three ducks in a row against India, and then lost his one-day place on the tour of Sri Lanka - ultimately missing out on selection for the 2015 World Cup.
 Stokes, like England after a dismal tournament, needed rejuvenating. It began with the Lord's Test against New Zealand, when Stokes scored 92 and 101 after being promoted to bat at No. 6. A successful Ashes followed and he was also a central figure in the new-look ODI side that began to put the World Cup behind them under the guidance of Bayliss and Paul Farbrace. A few months later he produced a barnstorming 258 from 198 balls against South Africa in Cape Town - the fastest England double-hundred in history and the second fastest of all time - during a stand of 399 with Jonny Bairstow.
 Following his Kolkata nightmare, he nevertheless grew in stature within the side and was promoted to the vice-captaincy (at least until the Bristol episode). He scored his maiden ODI hundred in Dhaka in late 2016 and added four more across international formats the following year, while also taking Test-best figures of 6 for 22 against West Indies at Lord's, becoming a key cog for England despite a chequered injury record.
 An IPL millionaire twice over - he was bought for £1.7m by Rising Pune Supergiant in 2017, winning tournament MVP, and then picked up for £1.4m the following season by Rajasthan Royals - Stokes was one of the most talked-about players in the world. But there was a sense the best was yet to come. Going into 2019, a year containing an Ashes series and a World Cup, he looked to be a player at the peak of his powers who had finally understood the level of sacrifice and discipline required to coax the best out of his undoubted talent. ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1224532.html"",""Ben Stokes"")"	England
Lockie Ferguson	Lachlan Hammond Ferguson	June 13, 1991, Auckland 	29 years 260 days	New Zealand, Auckland, Auckland Under-19s, Kolkata Knight Riders, Rising Pune Supergiant	Bowler	Right-hand bat	Right-arm fast	19	Australia v New Zealand at Sydney, Mar 13, 2020	"A right-arm quick with a good bouncer, it is Lockie Ferguson's speed that made a breakout star at the 2019 World Cup in England. Regularly hitting 150kph, Ferguson's raw speed bowling first change yielded 21 wickets at just 19.47 and an economy rate of 4.88. He finished second on the tournament wicket tally behind Mitchell Starc. He was rewarded with being named in the ICC's team of the tournament alongside skipper Kane Williamson.  
 A sporadic presence in the Auckland side in his first two first-class seasons, Ferguson had a breakthrough season in 2014-15, in which his 21 wickets came at an average of 23.38. He took 31 wickets the following year, when he also entered the List A side, enjoying further success there. It was for limited-overs cricket that he first entered the New Zealand squad: he was picked in the ODI side to Australia in December 2016, after an injury to Adam Milne had left the team short of an out-and-out fast bowler. Making his debut in Sydney, Ferguson took the wicket of David Warner in his first over.
 He has become a major weapon in ODI and T20 cricket. He played in the IPL for the Kolkata Knight Riders and Rising Pune Supergiant. He has played first-class cricket for New Zealand A and did an extended stint in England with Derbyshire in 2018. A Test debut came against Australia in Perth in late 2019, but was seemingly a source of great frustration for Ferguson: he didn't last the match, sidelined by a calf strain in the second session of day one.ESPNCricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1222627.html"",""Lockie Ferguson"")"	New Zealand
Shoaib Malik	Shoaib Malik	February 1, 1982, Sialkot, Punjab 	39 years 27 days	Pakistan, Asia XI, Barbados Tridents, Bradman XI, Central Punjab (Pakistan), Chittagong Vikings, Comilla Victorians, Delhi Daredevils, Gloucestershire, Gujranwala, Gujranwala Cricket Association, Guyana Amazon Warriors, Hobart Hurricanes, ICC World XI, Imtiaz Ahmed's XI, Jaffna Stallions, Karachi Kings, Karachi Whites, Khyber-Pakhtunkhwa Fighters, Multan Sultans, North West Frontier Province-Baluchistan, Pakistan Cricket Board Blues, Pakistan Cricket Board Greens, Pakistan Cricket Board Patron's XI, Pakistan Cricket Board XI, Pakistan International Airlines, Pakistan Masters, Pakistan Reserves, Pakistan Reserves, Pakistan Under-15s, Pakistan Under-19s, Peshawar Zalmi, Punjab (Pakistan), Punjab Badshahs, Punjab Stallions, Rajshahi Royals, Sialkot Cricket Association, Sialkot Region, Sialkot Stallions, Sind Governor's XI, Sui Southern Gas Corporation, Uva Next, Vancouver Knights, Warwickshire, Zarai Taraqiati Bank Limited	Allrounder	Right-hand bat	Right-arm offbreak	143	Pakistan v West Indies at Sharjah, Oct 14, 1999	"There is almost no role in a cricket side that Shoaib Malik hasn't filled, so much so that over ten years into his career, nobody is sure what his precise and best role is. 
 In essence, he is a batting allrounder, though he started his career as an off-break bowler. Partly the problem is that he is capable, as a batsman, of fulfilling many roles with some competence. He has had success as an opener in Tests and ODIs; he has been game-changing as a limited-overs one down and dangerous as a lower-order slogger; often he has been a stodgy middle-order bulwark. In Twenty20s, he can be brutal anywhere.
 It is thus difficult to recall a definitive Malik high; was it his maiden Test hundred as an opener against Sri Lanka in Colombo? A few hands that led to an ODI series win against India in 2005-06? A Champions Trophy hundred against India?
 His basic game is tight, especially in the subcontinent. He isn't pretty, though there can be pleasantness in his high, stiff-elbowed drives and lofts. Square on both sides he is precise. Further, he runs well. With his flattish, very modern off-spin always useful for more than a few overs and a wicket here and there - less so after concerns over his action - and an athletic and languid presence in the field, Malik should be far greater a sum of his parts than he actually is.
 He was for long earmarked as a potential captain - the late Bob Woolmer thought him the sharpest tack in Pakistan's set-up - but a stint with the captaincy was troubled, unimaginative and ended badly. It got even worse when the board banned him for a year in March 2010 as part of its unprecedented action on senior players after a disastrous tour of Australia. Osman Samiuddin"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1221200.html"",""Shoaib Malik"")"	Pakistan
Kane Richardson	Kane William Richardson	February 12, 1991, Eudunda, South Australia 	30 years 16 days	Australia, Adelaide Strikers, Australia A, Australia Under-19s, Australian Institute of Sport, Derbyshire, East Torrens, Melbourne Renegades, Northern Territory, Northern Territory, Northern Territory Under-17s, Northern Territory Under-19s, Northern Territory Under-19s, PINT Cricket Club, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore, South Australia, South Australia, South Australia Second XI, South Australia Under-19s, South Australia Under-19s, South Australia Under-23s, South Australia Under-23s, Waratahs (Dalby), Woodville	Bowler	Right-hand bat	Right-arm fast-medium	24*	Australia v Pakistan at Dubai (DSC), Oct 5, 2014	"A pace bowler who has often been on the fringes of Australia's ODI and T20 teams, Kane Richardson is know for his skills at the death and has an excellent yorker. Although he has struggled to gain much traction at first-class level for South Australia, Richardson is very effective in the shorter forms and in 2019 was a late addition to the World Cup squad. 
 He has been with three IPL franchises, starting with a USD700,000 deal from the Pune Warriors in 2013 although he only played three matches for them. Since then he has appeared for Rajasthan Royals and Bangalore Royal Challengers. 
 His ODI debut came at his home ground, Adelaide Oval, in 2013, but he suffered the ignominy of being ordered out of the attack by the umpires for repeatedly running on the pitch. His breakthrough international performance came in January 2016, when he picked up five wickets in a Man of the Match effort against India in Canberra. He played Australia's next ODI in New Zealand but did not play another for 18 months before returning on the 2017 ODI tour of India. 
 He lost his spot after a tough tour of England in 2018 but a strong BBL for the champions the Melbourne Renegades put him back in the mix.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1186414.html"",""Kane Richardson"")"	Australia
Tom Latham	Thomas William Maxwell Latham	April 2, 1992, Christchurch, Canterbury 	28 years 332 days	New Zealand, Scotland, Canterbury, Canterbury Second XI, Canterbury Under-19s, Durham 2nd XI, New Zealand A, New Zealand Under-19s	Wicketkeeper batsman	Left-hand bat	Right-arm medium	137	New Zealand v Zimbabwe at Dunedin, Feb 3, 2012	"The son of former allrounder Rod Latham, Tom Latham played varied roles for New Zealand since his international debut at the age of 19. He batted in every position from No. 1 to 9 in limited-overs cricket, and also took on the responsibility of being a wicketkeeper. In Tests, however, Latham was primarily used as an opening batsman, and he quickly settled into a position New Zealand had trouble filling for years. 
 Latham had been part of New Zealand's Under-19 World Cup squad in 2010 and later that year he played first-class cricket for Canterbury. In 2012, he made his debut in ODIs and Twenty20 internationals and was shuffled up and down the order for a while but did not cement his spot. 
 Following an impressive domestic season, Latham played his first Test, against India in Wellington, in February 2014 and was picked as an opener for the tour of West Indies a few months later. In the Caribbean, he reeled off three successive half-centuries, contributing to an overseas series win. Against Pakistan in the UAE that November, Latham scored centuries in successive Tests, the first New Zealand batsman to do so for 24 years. He has been a fixture at the top of New Zealand's order in Test cricket ever since. In December 2018, he carried his bat in a Test innings against Sri Lanka in Wellington, making 264 not out to set a new Test match record for the highest score by any opener while carrying his bat, surpassing Alastair Cook's 244 not out in 2017 against Australia. He was also only the second New Zealand opener to carry his bat in a Test. Glenn Turner had previously done it twice. 
 In ODI cricket, he was included in New Zealand's 2015 World Cup squad, but did not get a game as Brendon McCullum's team finished runners-up. However, New Zealand rested several first-choice players from the tour to Africa later that year, and Latham cashed in: he made his maiden ODI hundred in Zimbabwe, and scored three successive half-centuries in South Africa - all while opening the batting. He had had only one 50-plus score in his first 26 ODI innings. 
 After a lean run in 2017 at the top of the order, he was shifted to No.5 and given the gloves following the retirement of Luke Ronchi. He made 103 not out in his first innings at No.5 in a winning chase against India in Mumbai and remained in that spot all the way through to the 2019 World Cup.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1222375.html"",""Tom Latham"")"	New Zealand
Sheldon Cottrell	Sheldon Shane Cottrell	August 19, 1989, Jamaica 	31 years 193 days	West Indies, Antigua Hawksbills, Deccan Gladiators, Jamaica, Kings XI Punjab, Leeward Islands, Rangpur Rangers, Sagicor High Performance Centre, St Kitts and Nevis Patriots, Vancouver Knights, West Indies A, West Indies Cricket Board President's XI	Bowler	Right-hand bat	Left-arm fast-medium	17	South Africa v West Indies at Port Elizabeth, Jan 25, 2015	"Sheldon Cottrell is one of the most promising fast bowlers in West Indies. He is strong and muscular, can bowl fast, and his left-arm angle provides variety to the bowling attack. His athleticism in the field and powerful hitting in the lower order are bonuses.  
 Cottrell was impressive in the four-day regional competition in 2012-13, taking 17 wickets at 19.29. However, his pace and hostility was noticed even more in the 2013 Caribbean Premier League, particularly in a match against Barbados Tridents, when he took three top-order wickets and finished with 4 for 20. An injury forced him to pull out of the West India A team for the tour to India in September-October 2013, but he was included for the senior team's tour to India a month later, and made his Test debut in Kolkata.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/966407.html"",""Sheldon Cottrell"")"	West Indies
Liam Plunkett	Liam Edward Plunkett	April 6, 1985, Middlesbrough, Yorkshire 	35 years 328 days	England, Chattogram Challengers, Delhi Daredevils, Dolphins, Durham, Durham 2nd XI, Durham Cricket Board, England Lions, England Under-19s, Kandy Tuskers, Karachi Kings, Melbourne Stars, Surrey, Sylhet Sixers, Yorkshire	Bowler	Right-hand bat	Right-arm fast	56	Pakistan v England at Lahore, Dec 10, 2005	"Liam Plunkett didn't gain too many headlines after England's World Cup victory - Ben Stokes made sure of that - but, by the time the tournament ended, he could rest assured he had played a full part in the triumph.  
 By claiming three wickets in the final - including the key one of Kane Willamson - Plunkett had replicated the role he had fulfilled all tournament: offering his captain control and the promise of wickets in the middle-overs. 
 It had felt, in the months ahead of the announcement of the final squad for the World Cup, that 34-year-old Plunkett was clinging on to his place. His pace, once as sharp as anyone in the land, had dropped and his spot in the side was under threat from the likes of David Willey, Chris Jordan and the Curran brothers.
 Ultimately, however, his increasing skill - his cutters, delivered from height, proved desperately hard for batsmen to negotiate on surfaces that proved surprisingly receptive for him  - won him a place in the squad and it was no coincidence that England won all seven of the World Cup matches he played. Both his economy-rate - he conceded 4.85 runs per over - and average - his 11 wickets came at a cost of 24.11 apiece - were among the best in the competition. Still, it was not a complete surprise when, just a couple of months later, his name was omitted from the list of central contracts for the following year. ""Disappointment is an understatement,"" he tweeted in response.
 Plunkett had feared his career was over long before all that. A move south, from Durham to Yorkshire, after the 2012 season, revived him. Rather than slipping out of the game, he rediscovered his pace and ambition in one of English cricket's story-book recoveries. England, pummelled by the Australian Mitchell Johnson, and eager to find an out-and-out quick bowler of their own, liked what they saw during a Lions recall, and he played the four Tests of the 2014 summer as a shock trooper - two each against Sri Lanka and India - before succumbing to injury. 
 Plunkett's return was not entirely untroubled; at times his control deserted him and his around-the-wicket approach did not always drum up the anticipated menace. But he stayed true to the exhortations of Yorkshire's coach, Jason Gillespie, to keep it simple and just bowl fast and he took 18 wickets in four Tests, with his match figures of nine for 176 against Sri Lanka on his adopted home ground of Headingley the highlight, a feat overshadowed by Sri Lanka's last-over win. Sternly bearded, with an upright style and strikingly gym-honed upper body, he regularly exceeded speeds of 90mph, but England seemed to conclude that subtlety and control was missing and thereafter chose to utilise him exclusively in white-ball cricket.
 Plunkett's initial selection for England's tour of Pakistan and India in 2005-06 represented the culmination of a two-year rise to prominence.  A bustling fast-medium seamer blessed with an ability to bowl an occasional unplayable ball and a powerful striker down the order, he briefly promised to have a lengthy international career only for issues with his control - and, in his final season at Durham in 2012, a loss of confidence in his action - to lower his sights.
 Having made his first-class debut for Durham in 2003, Plunkett took on immediate responsibilities in the absence of Steve Harmison and the injured Mark Davies, and in 2005 took 50 wickets in a season for the first time. He made his Test debut in a thumping England defeat against Pakistan in Lahore, following the withdrawal of Simon Jones with an ankle injury, and announced himself as a capable allrounder with a composed half-century in only his second ODI against the same opposition. 
 He was selected for England's Ashes campaign in Australia in 2006-7 and for seven gruelling weeks he was the forgotten man of a dismal Test tour. But as England, against all predictions, regrouped to win the one-day series, he seized his opportunity to impress with 12 wickets in the one-day series, including 3 for 43 in the decisive second final against Australia. It was a performance that secured his World Cup passage, though he only played three games and lacked the incisiveness he had shown in Australia.
 A lack of England engagements freed Plunkett up for his Durham duties, and in 2007 he played a role in their first domestic trophy triumph, in their sixteenth year of first-class status, taking three wickets as Durham won the rain-interrupted Friends Provident final by 125 runs at Lord's. A regular in England Lions squads, Plunkett spent a winter as the Dolphins' overseas player in South Africa in 2007-08 and shared in Durham's Championship success the following summer. Durham retained the title in 2009 and Plunkett was at the forefront of their success with 49 wickets in the season, including match figures of 9 for 149 in the innings win over Nottinghamshire that sealed the title.
 Plunkett looked set for a second crack at international cricket when he was named in England's squad for their Test series against South Africa in 2009-10, but he was overtaken by the likes of Graham Onions, his Durham team mate, Stuart Broad and Ajmal Shahzad in the fast-bowling ranks and has had to be content with sporadic appearances since. 
 Subsequently, a combination of injuries and problems with his action saw Plunkett slip down the pecking order at Durham and after two lean seasons, amounting to three Championship appearances, he was told he could look for a new county. Yorkshire took the opportunity to offer him a three-year contract, enabling him to team up again with his former Durham coach, Martyn Moxon, the director of cricket at Headingley, who like Gillespie proved a positive influence. He immediately showed signs of a resurgence, taking 36 wickets in 12 Championship matches. Yorkshire capped him. As he was born in Middlesbrough - part of the old county boundaries  - they felt they had been entitled to him all along.  With the club looking to rebuild, however, he moved to Surrey on a three-year deal at the end of the 2018 season.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1223535.html"",""Liam Plunkett"")"	England
Sunil Ambris	Sunil Walford Ambris	March 23, 1993, St Vincent, Windward Islands 	27 years 342 days	West Indies, Combined Campuses and Colleges, Sagicor High Performance Centre, St Lucia Stars, St Lucia Zouks, UWI Vice Chancellor's XI, West Indies A, West Indies President's XI, West Indies Under-15s, West Indies Under-15s, West Indies Under-19s, Windward Islands	Opening batsman	Right-hand bat		148	England v West Indies at Southampton, Sep 29, 2017	"Sunil Ambris, a right-hand batsman from St Vincent, made one of the most unusual starts to a Test career when he was out hit-wicket off the first ball he ever faced, against New Zealand in Wellington in December 2017. Stepping onto the back foot against a rising delivery from Neil Wagner, Ambris trod onto his stumps. 
 If that wasn't enough, he was dismissed in the same manner in his second Test as well - this time it was Trent Boult who pushed him back with a well-directed short ball. In the second innings of that Hamilton Test, another short ball brought a premature end to Ambris' tour, Wagner fracturing his left forearm.
 Ambris had a modest first-class record, with a batting average in the low 30s, when he was chosen for the tour of New Zealand, but had impressed the selectors with his 50-overs form, scoring two hundreds for West Indies A in a five-match series against Sri Lanka A.ESPNcricinfo staff"	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/530817.html?alt=1"",""Sunil Ambris"")"	West Indies
Rassie van der Dussen	Hendrik Erasmus van der Dussen	February 7, 1989, Pretoria, Transvaal 	32 years 21 days	South Africa, Islamabad United, Lions, North West, Northerns, St Kitts and Nevis Patriots, Vancouver Knights	Top-order batsman	Right-hand bat	Legbreak	95	South Africa v Pakistan at Port Elizabeth, Jan 19, 2019	Seeking opportunities wherever they might arise, Rassie van der Dussen had played cricket in South Africa, England, Ireland, Netherlands, Canada and the Caribbean before he finally caught the national selectors' eye and made his T20I debut against Zimbabwe in October 2018. Van der Dussen had also been part of South Africa A's tour to India earlier that year, and the accumulated effect of his experience in such a wide variety of conditions has made him a dynamic, adaptable batsman at the top of the order or in the middle.A naturally attacking batsman, van der Dussen has also been able totranslate his talents into long-format cricket and was top-scorer in South Africa's first-class domestic competition in 2017-18, as well as being Lions' vice-captain. But it was his success in cricket's shortest formats that made van der Dussen impossible to ignore.He was an integral part of the Vancouver Knights team that won the 2018 Global T20 Canada, after which he was recruited by St Kitts & Nevis Patriots in the Caribbean Premier League and capped the year by topping the batting charts with 469 runs at a strike rate of 138.75 in Jozi Stars' run to the inaugural Mzansi Super League title. Van der Dussen transitioned easily into international cricket, striking a fifty on T20I debut against Zimbabwe and following that up with 93 in his first ODI against Pakistan.Liam Brickhill	"=HYPERLINK(""https://www.espncricinfo.com/inline/content/image/1185197.html"",""Rassie van der Dussen"")"	South Africa
